latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-27.079,128.263,357.5,3.2,1.7,2018-10-17,0100,T,98,6.0NRT,304.7,364.4,D
-27.086,128.295,373.5,3.1,1.7,2018-10-17,0100,T,100,6.0NRT,309,613.4,D
-27.085,128.516,331.1,3,1.7,2018-10-17,0100,T,80,6.0NRT,304.9,98.8,D
-27.076,128.258,342.6,3.2,1.7,2018-10-17,0100,T,90,6.0NRT,304.2,198.7,D
-27.083,128.29,377.8,3.1,1.7,2018-10-17,0100,T,100,6.0NRT,309.9,701.9,D
-27.104,128.316,340.9,3.1,1.7,2018-10-17,0100,T,88,6.0NRT,305.7,174,D
-26.767,126.173,323.8,4.4,1.9,2018-10-17,0100,T,70,6.0NRT,306.1,102.3,D
-27.13,127.786,317.7,3.4,1.7,2018-10-17,0100,T,45,6.0NRT,304.8,32.8,D
-26.784,126.168,332.7,4.4,1.9,2018-10-17,0100,T,82,6.0NRT,305.1,189.5,D
-26.767,126.167,326.2,4.4,1.9,2018-10-17,0100,T,74,6.0NRT,306.1,127.8,D
-27.139,127.777,317,3.4,1.7,2018-10-17,0100,T,31,6.0NRT,304.2,29,D
-26.784,126.162,330.4,4.4,1.9,2018-10-17,0100,T,80,6.0NRT,304.6,169.7,D
-27.297,127.981,319.9,3.3,1.7,2018-10-17,0100,T,48,6.0NRT,303.2,43.9,D
-27.304,128.014,346,3.2,1.7,2018-10-17,0100,T,92,6.0NRT,306.2,247.5,D
-27.299,128.008,334.4,3.2,1.7,2018-10-17,0100,T,83,6.0NRT,305,139.6,D
-27.314,128.003,343.8,3.2,1.7,2018-10-17,0100,T,91,6.0NRT,303,225.3,D
-27.322,128.036,323,3.2,1.7,2018-10-17,0100,T,68,6.0NRT,304.5,63,D
-27.35,128.164,321.7,3.2,1.7,2018-10-17,0100,T,62,6.0NRT,304.9,54.4,D
-27.473,128.732,320.6,2.9,1.6,2018-10-17,0100,T,42,6.0NRT,302.9,34.7,D
