latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
47.07,8.26766,306.8,0.44,0.39,2018-10-19,0112,N,nominal,1.0NRT,281.7,1.5,N
46.22776,13.07467,315.9,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,286.9,1.5,N
46.06816,13.62589,305.5,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,286.5,0.7,N
46.06646,13.6285,298.2,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,284.9,0.6,N
45.61613,13.77837,300.9,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,286.3,1.9,N
45.51834,11.49794,295,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,282,0.3,N
42.71465,24.17071,313.9,0.39,0.6,2018-10-19,0112,N,nominal,1.0NRT,279.5,2.1,N
42.71333,24.17533,317.4,0.39,0.6,2018-10-19,0112,N,nominal,1.0NRT,278.3,2.1,N
45.38218,11.94968,313.8,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,282.1,1.6,N
45.37891,11.94863,298,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,280.2,0.6,N
45.51634,10.34424,299.1,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,282.7,0.7,N
45.50933,10.24848,323.1,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,286.1,2.2,N
45.50827,10.24679,326.6,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,286.5,2.8,N
45.4607,10.45576,300.5,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,285.2,0.6,N
45.47869,10.21216,314.2,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,285,1.6,N
45.34493,11.07255,296,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,284.8,0.6,N
43.09276,20.96824,307.9,0.54,0.51,2018-10-19,0112,N,nominal,1.0NRT,279.8,2.3,N
43.08504,20.95921,302.7,0.54,0.51,2018-10-19,0112,N,nominal,1.0NRT,277.2,1.1,N
45.14665,9.94048,328.7,0.39,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.2,4.6,N
45.14595,9.94548,327.2,0.39,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.5,3.1,N
45.14333,9.93953,313.9,0.39,0.37,2018-10-19,0112,N,nominal,1.0NRT,283.2,2.4,N
45.14262,9.94452,319.4,0.39,0.37,2018-10-19,0112,N,nominal,1.0NRT,283.5,1.8,N
42.50889,22.33843,305.3,0.33,0.55,2018-10-19,0112,N,nominal,1.0NRT,276.9,0.4,N
45.09953,8.88146,295.3,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,282,0.7,N
45.09884,8.88668,295.9,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,282.5,0.7,N
41.4389,21.94486,298.9,0.33,0.56,2018-10-19,0112,N,nominal,1.0NRT,282.9,0.7,N
43.36372,12.54544,299.5,0.39,0.37,2018-10-19,0112,N,nominal,1.0NRT,279.7,0.8,N
43.55095,11.02747,315.5,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,274,1.7,N
41.54806,19.72595,296,0.52,0.5,2018-10-19,0112,N,nominal,1.0NRT,285.1,0.6,N
41.04472,21.52647,313,0.33,0.55,2018-10-19,0112,N,nominal,1.0NRT,282.7,1.9,N
40.28376,23.44669,298.5,0.42,0.61,2018-10-19,0112,N,nominal,1.0NRT,284.3,0.6,N
43.52018,4.89838,303.9,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,278.7,1.9,N
